onset	duration	sample	trial_type	response_time	stim_file	value
2413.7580000000	n/a	n/a	Test Stim: CB	n/a	n/a	S 32
2415.4200000000	n/a	n/a	Test Resp: left,incorrect	n/a	n/a	S  3
2416.4760000000	n/a	n/a	Test Stim: AD	n/a	n/a	S 14
2417.2040000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
2418.2620000000	n/a	n/a	Test Stim: BA	n/a	n/a	S 21
2419.1880000000	n/a	n/a	Test Resp: left,incorrect	n/a	n/a	S  3
2420.2460000000	n/a	n/a	Test Stim: BA	n/a	n/a	S 21
2420.8360000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
2421.8980000000	n/a	n/a	Test Stim: AD	n/a	n/a	S 14
2422.7760000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
2423.8320000000	n/a	n/a	Test Stim: AB	n/a	n/a	S 12
2424.4080000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
2425.4660000000	n/a	n/a	Test Stim: BD	n/a	n/a	S 24
2426.4240000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
2427.4840000000	n/a	n/a	Test Stim: DC	n/a	n/a	S 43
2428.3840000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
2429.4540000000	n/a	n/a	Test Stim: DA	n/a	n/a	S 41
2430.3880000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
2431.4540000000	n/a	n/a	Test Stim: AD	n/a	n/a	S 14
2432.6200000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
2433.6900000000	n/a	n/a	Test Stim: BD	n/a	n/a	S 24
2434.4200000000	n/a	n/a	Test Resp: right,incorrect	n/a	n/a	S  4
2435.4920000000	n/a	n/a	Test Stim: DC	n/a	n/a	S 43
2436.4040000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
2437.4600000000	n/a	n/a	Test Stim: CB	n/a	n/a	S 32
2438.9440000000	n/a	n/a	Test Resp: left,incorrect	n/a	n/a	S  3
2440.0120000000	n/a	n/a	Test Stim: CA	n/a	n/a	S 31
