,absolute_bp,relative_bp,freq_act,sub,ses,channel
136,294737901.5051953,0.27179644990003987,tetha,056,01,Z
137,110307016.79788807,0.13999333815170195,alpha,056,01,Z
138,99333166.96342824,0.18063948705877153,beta,056,01,Z
139,66313537.76270555,0.2573931976063015,gama,056,01,Z
140,8.416554623322352,0.4122028991051795,delta,002,01,Cz
141,0.9658536499818552,0.11560088770297641,tetha,002,01,Cz
142,0.6086256081208455,0.10137042579029423,alpha,002,01,Cz
143,0.6448905006666295,0.12699194592048735,beta,002,01,Cz
144,1.4142233585974395,0.38409562860198937,gama,002,01,Cz
145,113.65320350528754,0.5137116140903278,delta,002,01,Fz
146,14.239111800321163,0.14718122501035055,tetha,002,01,Fz
147,5.614385005787298,0.09223764774567489,alpha,002,01,Fz
148,4.348474772997669,0.10184550145276156,beta,002,01,Fz
149,9.571710062878093,0.37672127114833215,gama,002,01,Fz
150,5.294150847877345,0.2855353434063156,delta,002,01,Pz
151,0.7921640897328344,0.10986126855795939,tetha,002,01,Pz
152,0.6096421898791308,0.10437487202639407,alpha,002,01,Pz
153,0.7648637265008895,0.14420072490602093,beta,002,01,Pz
154,1.6725226472949961,0.40803061896608983,gama,002,01,Pz
155,32.111170262037604,0.2863402370764484,delta,002,01,Oz
156,5.192662125754486,0.10205222583527715,tetha,002,01,Oz
157,4.640027020034713,0.11020766148099174,alpha,002,01,Oz
158,5.255284768182911,0.13346890743851603,beta,002,01,Oz
159,12.53674005849668,0.40718265711958956,gama,002,01,Oz
160,1200302264.8026311,0.3416696904393516,delta,002,01,X
161,96158242.69312623,0.11717799345156489,tetha,002,01,X
162,47727537.805596024,0.08907202117575297,alpha,002,01,X
163,100720420.25472738,0.24772005905607672,beta,002,01,X
164,106376839.59855118,0.35851964944353365,gama,002,01,X
165,1847306049.280608,0.34519810480387586,delta,002,01,Y
166,260930481.49569216,0.17178664235077246,tetha,002,01,Y
167,123275178.68243654,0.12224212862304651,alpha,002,01,Y
168,133693443.68588157,0.1808036413910696,beta,002,01,Y
169,162829239.3340186,0.36892264106815476,gama,002,01,Y
170,2043262370.9251657,0.26680839955960917,delta,002,01,Z
171,161773921.70458993,0.15936582517406084,tetha,002,01,Z
172,62539534.15795675,0.11222411603173464,alpha,002,01,Z
173,52713688.34233526,0.14690598050948364,beta,002,01,Z
174,47876999.19042809,0.289466001650939,gama,002,01,Z
175,2.8121395821165613,0.2934437974269763,delta,002,02,Cz
176,0.5586705748123728,0.1347752868378468,tetha,002,02,Cz
177,0.4114108680986942,0.12290059635108741,alpha,002,02,Cz
178,0.5421208074620794,0.1830256316803511,beta,002,02,Cz
179,0.701214052178838,0.3220620693191616,gama,002,02,Cz
180,39.750056780252855,0.3865793046801765,delta,002,02,Fz
181,5.8778448665998795,0.16899532016554533,tetha,002,02,Fz
182,2.938821729442009,0.12403959526371436,alpha,002,02,Fz
183,2.9978592409257834,0.16957793476649324,beta,002,02,Fz
184,3.4602417541058337,0.3326729436818322,gama,002,02,Fz
185,1.7155091789784638,0.2770192784652555,delta,002,02,Pz
186,0.3319575242801628,0.11246912700493251,tetha,002,02,Pz
187,0.27291329069786957,0.10992663015927577,alpha,002,02,Pz
188,0.3634252788913035,0.16112332369933854,beta,002,02,Pz
189,0.6326033150883705,0.3618788460940577,gama,002,02,Pz
190,12.145262447659709,0.30725083984524026,delta,002,02,Oz
191,2.9268317640728854,0.1483630652326485,tetha,002,02,Oz
192,2.721022513432185,0.16597973964921164,alpha,002,02,Oz
193,3.2836969570095667,0.21947484036551268,beta,002,02,Oz
194,3.1418937218977936,0.3043726205117368,gama,002,02,Oz
