onset	duration	sample	trial_type	response_time	stim_file	value
1282.8200000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
1283.4880000000	n/a	n/a	Trn Resp: right,incorrect	n/a	n/a	S104
1285.5880000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
1286.3880000000	n/a	n/a	Trn No Response	n/a	n/a	S105
1288.4900000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
1289.0360000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1289.1080000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1291.1920000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
1291.9760000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
1294.0780000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
1294.8240000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1294.8960000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1296.9800000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
1297.7800000000	n/a	n/a	Trn No Response	n/a	n/a	S105
1299.8820000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
1300.4840000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1300.5500000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1302.6360000000	n/a	n/a	Trn Stim: yellow incongru A	n/a	n/a	S121
1303.4040000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1303.4700000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1305.5540000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
1306.1640000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1306.2380000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1308.3220000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
1308.9720000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1309.0400000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1311.1240000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
1311.6320000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1311.6920000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1313.7760000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
1314.4240000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1314.4940000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1316.5800000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
1317.3240000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1317.3960000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1319.4820000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
1320.1880000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1320.2480000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1322.3340000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
1322.9960000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1323.0680000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1325.1520000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
1325.6520000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1325.7200000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1327.8040000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
1328.6040000000	n/a	n/a	Trn No Response	n/a	n/a	S105
1330.7060000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
1331.5060000000	n/a	n/a	Trn No Response	n/a	n/a	S105
1333.6080000000	n/a	n/a	Trn Stim: blue congru B	n/a	n/a	S212
1334.2560000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1334.3260000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1336.4100000000	n/a	n/a	Trn Stim: yellow congru A	n/a	n/a	S111
1337.0400000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1337.1120000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1339.1960000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
1339.7800000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
1341.8820000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
1342.6820000000	n/a	n/a	Trn No Response	n/a	n/a	S105
1344.7840000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
1345.4520000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1345.5180000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1347.6020000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
1348.2120000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1348.2700000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1350.3540000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
1351.0920000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1351.1560000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1353.2400000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
1353.8320000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1353.8920000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1355.9760000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
1356.5640000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1356.6260000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1358.7120000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
